time,global_base_link_position.x,global_base_link_position.y,global_base_link_position.z,global_base_link_rotation.x,global_base_link_rotation.y,global_base_link_rotation.z,global_base_link_rotation.w,bsae_linear_vel_x,bsae_linear_vel_y,bsae_linear_vel_z,bsae_angular_vel_x,bsae_angular_vel_y,bsae_angular_vel_z,local_Link_head_yaw_rotation,local_Link_head_pitch_rotation,local_Link_arm_l_01_rotation,local_Link_arm_l_02_rotation,local_Link_arm_l_03_rotation,local_Link_arm_l_04_rotation,local_Link_arm_l_05_rotation,local_Link_arm_l_06_rotation,local_Link_arm_l_07_rotation,local_Link_arm_r_01_rotation,local_Link_arm_r_02_rotation,local_Link_arm_r_03_rotation,local_Link_arm_r_04_rotation,local_Link_arm_r_05_rotation,local_Link_arm_r_06_rotation,local_Link_arm_r_07_rotation,local_Link_waist_pitch_rotation,local_Link_waist_roll_rotation,local_Link_waist_yaw_rotation,local_Link_hip_l_roll_rotation,local_Link_hip_l_yaw_rotation,local_Link_hip_l_pitch_rotation,local_Link_knee_l_pitch_rotation,local_Link_ankle_l_pitch_rotation,local_Link_ankle_l_roll_rotation,local_Link_hip_r_roll_rotation,local_Link_hip_r_yaw_rotation,local_Link_hip_r_pitch_rotation,local_Link_knee_r_pitch_rotation,local_Link_ankle_r_pitch_rotation,local_Link_ankle_r_roll_rotation
0.191666667,0.020056188,0,1.140855074,0,0,0,1,0.217077866,0,0,0,0,0,0,0,0.015104835,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001063987,-0.000935956,-0.02345173,-0.003837033,0.015152975,5.21E-07,7.84E-05,-0.005731507,0.163881973,-0.126882716,0.036086961,2.82E-07
0.195833333,0.020982631,0,1.140855074,0,0,0,1,0.222346172,0,0,0,0,0,0,0,0.015554871,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001061364,-0.000976487,-0.024593993,-0.003905459,0.016123815,8.78E-07,0.000145511,-0.005974575,0.169782714,-0.131894871,0.035263701,2.82E-07
0.2,0.021931091,0,1.140855074,0,0,0,1,0.227630571,0,0,0,0,0,0,0,0.01599972,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001058861,-0.001017853,-0.025761529,-0.00397925,0.017108365,5.21E-07,0.000214652,-0.006220623,0.175677852,-0.136889501,0.034265204,2.82E-07
0.204166667,0.022901645,0,1.140855074,0,0,0,1,0.232932851,0,0,0,0,0,0,0,0.01643873,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001056119,-0.001060053,-0.026954218,-0.004058882,0.018106027,6.40E-07,0.000285939,-0.006469293,0.181555466,-0.141850873,0.033090158,2.82E-07
0.208333333,0.023894358,0,1.140855074,0,0,0,1,0.238251224,0,0,0,0,0,0,0,0.016871255,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001053854,-0.001103206,-0.028172179,-0.004144593,0.019116207,7.59E-07,0.000359253,-0.00672011,0.187404708,-0.146761819,0.031736298,2.82E-07
0.2125,0.024909308,0,1.140855074,0,0,0,1,0.243587926,0,0,0,0,0,0,0,0.017296646,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.00105135,-0.001147075,-0.029415294,-0.004236146,0.020138188,6.40E-07,0.000434355,-0.006972714,0.193213896,-0.151606603,0.030204817,4.01E-07
0.216666667,0.025946561,0,1.140855074,0,0,0,1,0.248940721,0,0,0,0,0,0,0,0.017714253,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001048966,-0.001192017,-0.030683561,-0.004334493,0.021171494,8.78E-07,0.000511364,-0.007226392,0.198971943,-0.156368538,0.028494759,2.82E-07
0.220833333,0.027006183,0,1.140855074,0,0,0,1,0.254309148,0,0,0,0,0,0,0,0.018123424,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001046701,-0.001237675,-0.031977578,-0.004439994,0.022215172,6.40E-07,0.000589923,-0.007480665,0.204667644,-0.161030694,0.026608392,4.01E-07
0.225,0.02808826,0,1.140855074,0,0,0,1,0.2596986,0,0,0,0,0,0,0,0.018523516,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001044436,-0.001284285,-0.033295675,-0.004552289,0.023268863,5.21E-07,0.000669793,-0.007735058,0.21029015,-0.165578171,0.024547978,4.37E-08
0.229166667,0.029192856,0,1.140855074,0,0,0,1,0.265102804,0,0,0,0,0,0,0,0.018913882,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001042291,-0.001331731,-0.034638925,-0.004672333,0.024331733,5.21E-07,0.000751213,-0.007989093,0.215829209,-0.169995232,0.022316142,1.63E-07
